,Unnamed: 0,detected,gfsk_gain_mu,gfsk_omega_limit,processed,rf_gain,sensivity',sqlch_thrsh
0,0,211,0.8999999999999999,0.11499999999999998,34,70,1.1,-30
1,1,275,0.1,0.075,52,70,1.1,-70
2,2,405,0.30000000000000004,0.015,104,40,1.0,-50
3,3,331,0.4,0.095,84,70,0.7,-110
4,4,212,0.6,0.065,72,50,1.1,-30
5,5,286,0.1,0.075,77,40,1.1,-90
6,6,265,0.7999999999999999,0.08499999999999999,70,70,1.1,-70
7,7,171,0.6,0.075,61,40,0.7,-90
8,8,167,0.2,0.025,43,50,0.8999999999999999,-70
9,9,310,0.2,0.035,69,40,0.7999999999999999,-50
10,10,150,0.2,0.08499999999999999,45,70,0.8999999999999999,-50
11,11,174,0.5,0.08499999999999999,41,60,0.7,-110
12,12,208,0.4,0.095,62,30,1.0,-110
13,13,315,0.6,0.065,69,40,1.0,-130
14,14,254,0.7,0.10499999999999997,56,50,1.0,-130
15,15,305,0.4,0.08499999999999999,63,60,0.8999999999999999,-150
16,16,213,0.30000000000000004,0.065,83,50,1.0,-30
17,17,355,0.8999999999999999,0.025,110,70,1.0,-150
18,18,193,0.1,0.045000000000000005,47,30,0.8999999999999999,-110
19,19,343,0.2,0.065,103,70,1.1,-110
20,20,277,0.1,0.055000000000000014,71,40,0.7999999999999999,-70
21,21,362,0.5,0.055000000000000014,81,40,0.7,-150
22,22,249,0.8999999999999999,0.045000000000000005,48,70,0.8999999999999999,-110
23,23,283,0.4,0.075,64,50,1.0,-150
24,24,243,0.2,0.015,72,40,0.7999999999999999,-70
25,25,232,0.30000000000000004,0.10499999999999997,68,50,1.0,-70
26,26,370,0.4,0.11499999999999998,90,40,0.7,-50
27,27,298,0.4,0.015,78,40,1.0,-110
28,28,209,0.2,0.035,45,70,1.1,-130
29,29,234,0.1,0.025,70,40,0.7,-90
30,30,265,0.2,0.055000000000000014,85,60,1.1,-110
31,31,202,0.5,0.10499999999999997,48,70,0.8999999999999999,-130
32,32,228,0.6,0.10499999999999997,51,30,0.7999999999999999,-110
33,33,363,0.8999999999999999,0.065,99,70,1.1,-90
34,34,280,0.6,0.095,93,40,0.7,-130
35,35,359,0.6,0.095,73,70,1.1,-30
36,36,242,0.6,0.11499999999999998,54,50,0.7999999999999999,-110
37,37,242,0.2,0.10499999999999997,42,40,1.0,-70
38,38,191,0.8999999999999999,0.045000000000000005,49,40,1.0,-110
39,39,245,0.5,0.035,56,60,0.7999999999999999,-50
40,40,219,0.30000000000000004,0.08499999999999999,56,40,1.1,-110
41,41,0,0.5,0.065,0,40,1.1,-30
42,42,342,0.7,0.08499999999999999,81,70,0.8999999999999999,-90
43,43,355,0.4,0.11499999999999998,100,70,0.7999999999999999,-130
44,44,205,0.7,0.08499999999999999,40,30,0.7999999999999999,-150
45,45,279,0.4,0.025,80,70,1.1,-50
46,46,0,0.7,0.035,0,40,1.1,-30
47,47,190,0.4,0.055000000000000014,54,30,0.7,-150
48,48,279,0.1,0.055000000000000014,63,60,0.7,-70
49,49,290,0.8999999999999999,0.075,64,60,0.7,-50
50,50,276,0.6,0.045000000000000005,65,60,1.0,-110
51,51,255,0.7999999999999999,0.015,59,50,1.1,-150
52,52,305,0.2,0.035,82,50,1.0,-90
53,53,302,0.4,0.095,80,60,0.7999999999999999,-150
54,54,264,0.1,0.11499999999999998,61,60,0.7999999999999999,-70
55,55,240,0.5,0.11499999999999998,60,40,1.0,-90
56,56,374,0.8999999999999999,0.055000000000000014,81,70,1.0,-70
57,57,281,0.30000000000000004,0.075,71,60,0.7,-50
58,58,292,0.6,0.10499999999999997,72,70,1.1,-70
59,59,281,0.6,0.025,68,50,0.7,-70
60,60,351,0.7,0.075,63,60,0.8999999999999999,-150
61,61,307,0.2,0.055000000000000014,91,40,1.1,-110
62,62,329,0.7,0.075,79,60,1.0,-110
63,63,415,0.2,0.095,111,30,0.8999999999999999,-130
64,64,334,0.1,0.11499999999999998,73,50,1.0,-150
65,65,331,0.1,0.055000000000000014,83,50,1.1,-50
66,66,309,0.6,0.075,79,60,0.7999999999999999,-150
67,67,238,0.8999999999999999,0.025,53,40,1.1,-70
68,68,275,0.4,0.10499999999999997,86,50,0.7999999999999999,-50
69,69,144,0.8999999999999999,0.075,24,30,1.1,-130
70,70,219,0.6,0.065,52,40,1.0,-150
71,71,301,0.2,0.10499999999999997,72,40,1.0,-130
72,72,222,0.1,0.065,60,70,0.7,-90
73,73,245,0.7999999999999999,0.045000000000000005,55,40,0.7,-70
74,74,226,0.7,0.075,46,60,0.7999999999999999,-50
75,75,240,0.8999999999999999,0.10499999999999997,67,30,1.0,-130
76,76,237,0.4,0.10499999999999997,53,40,0.7,-110
77,77,117,0.5,0.11499999999999998,21,30,1.0,-130
78,78,187,0.30000000000000004,0.08499999999999999,50,30,1.0,-70
79,79,246,0.7999999999999999,0.025,57,60,1.0,-150
80,80,162,0.7999999999999999,0.095,28,30,0.7,-130
81,81,218,0.2,0.015,45,70,0.7999999999999999,-70
82,82,432,0.1,0.065,98,40,1.0,-50
83,83,447,0.6,0.035,102,40,1.1,-50
84,84,308,0.5,0.095,80,40,0.7,-110
85,85,411,0.7,0.095,79,60,1.0,-30
86,86,0,0.6,0.045000000000000005,0,30,1.1,-30
87,87,299,0.2,0.10499999999999997,92,70,1.1,-90
88,88,0,0.2,0.095,0,30,0.7,-30
89,89,234,0.30000000000000004,0.055000000000000014,76,50,1.0,-50
90,90,213,0.7999999999999999,0.11499999999999998,51,70,1.1,-110
91,91,155,0.7,0.045000000000000005,36,30,0.8999999999999999,-130
92,92,228,0.6,0.055000000000000014,59,30,1.1,-70
93,93,262,0.5,0.10499999999999997,74,70,1.1,-70
94,94,269,0.2,0.035,71,50,0.7999999999999999,-50
95,95,272,0.2,0.095,58,50,1.0,-110
96,96,251,0.2,0.08499999999999999,65,30,0.8999999999999999,-110
97,97,435,0.5,0.055000000000000014,94,60,0.7999999999999999,-30
98,98,303,0.7,0.11499999999999998,83,70,0.7999999999999999,-90
99,99,268,0.2,0.10499999999999997,58,70,0.7,-110
100,100,196,0.7,0.08499999999999999,47,50,1.1,-50
101,101,234,0.2,0.035,67,70,0.7999999999999999,-70
102,102,174,0.7,0.025,37,30,1.0,-130
103,103,204,0.7,0.075,47,30,0.8999999999999999,-90
104,104,66,0.5,0.10499999999999997,15,40,1.1,-30
105,105,250,0.30000000000000004,0.11499999999999998,49,70,0.8999999999999999,-30
106,106,360,0.8999999999999999,0.055000000000000014,73,40,1.0,-130
107,107,285,0.7999999999999999,0.08499999999999999,63,40,0.7999999999999999,-90
108,108,258,0.4,0.015,65,60,1.1,-90
109,109,441,0.6,0.025,112,70,0.7999999999999999,-130
110,110,272,0.5,0.08499999999999999,65,40,0.7999999999999999,-150
111,111,302,0.7999999999999999,0.045000000000000005,70,70,0.7999999999999999,-70
112,112,314,0.4,0.10499999999999997,64,70,1.1,-70
113,113,402,0.7,0.08499999999999999,115,40,1.0,-50
114,114,419,0.1,0.11499999999999998,92,40,0.7999999999999999,-50
115,115,260,0.30000000000000004,0.095,55,70,1.0,-50
116,116,65,0.2,0.015,20,60,0.8999999999999999,-70
117,117,195,0.8999999999999999,0.10499999999999997,44,30,0.8999999999999999,-130
118,118,87,0.7999999999999999,0.075,23,40,0.7,-30
119,119,187,0.8999999999999999,0.08499999999999999,41,40,1.0,-150
120,120,22,0.30000000000000004,0.015,9,40,0.8999999999999999,-30
121,121,203,0.5,0.11499999999999998,42,40,1.1,-90
122,122,347,0.8999999999999999,0.08499999999999999,92,60,0.7,-30
123,123,217,0.8999999999999999,0.08499999999999999,53,60,0.8999999999999999,-50
124,124,234,0.8999999999999999,0.075,43,40,0.8999999999999999,-130
125,125,405,0.5,0.10499999999999997,101,40,0.7,-50
126,126,1,0.7999999999999999,0.015,1,40,1.0,-30
127,127,232,0.2,0.065,61,40,1.0,-150
128,128,292,0.7,0.015,60,50,1.1,-130
129,129,186,0.2,0.055000000000000014,37,30,1.0,-70
130,130,0,0.8999999999999999,0.025,0,30,0.7999999999999999,-30
